,labels_dense_MeanShift_params1,labels_dense_MeanShift_params10,labels_dense_MeanShift_params11,labels_dense_MeanShift_params12,labels_dense_MeanShift_params13,labels_dense_MeanShift_params14,labels_dense_MeanShift_params15,labels_dense_MeanShift_params16,labels_dense_MeanShift_params17,labels_dense_MeanShift_params18,labels_dense_MeanShift_params19,labels_dense_MeanShift_params2,labels_dense_MeanShift_params20,labels_dense_MeanShift_params21,labels_dense_MeanShift_params22,labels_dense_MeanShift_params23,labels_dense_MeanShift_params24,labels_dense_MeanShift_params25,labels_dense_MeanShift_params26,labels_dense_MeanShift_params27,labels_dense_MeanShift_params28,labels_dense_MeanShift_params29,labels_dense_MeanShift_params3,labels_dense_MeanShift_params30,labels_dense_MeanShift_params31,labels_dense_MeanShift_params32,labels_dense_MeanShift_params4,labels_dense_MeanShift_params5,labels_dense_MeanShift_params6,labels_dense_MeanShift_params7,labels_dense_MeanShift_params8,labels_dense_MeanShift_params9
B,0.00648580107567098,0.020546516127537648,0.015718013020742983,0.017468072334798166,0.00807379263374479,0.008786059206258877,0.01856191527637231,0.020546516127537648,0.03310100623910952,0.02662571406584201,0.03306163744255736,0.005382793840148369,0.02660711738512702,0.03462556332640288,0.031010644819133595,0.041139727066895136,0.0418247877877258,0.011451379509684417,0.011538153699729525,0.19376365087533753,0.19376365087533753,0.1925021289761077,0.0074097970601565985,0.1925021289761077,0.19376365087533753,0.19376365087533753,0.006924733222301062,0.013499130750556358,0.014779826267070717,0.00807379263374479,0.008786059206258877,0.01856191527637231
BH,0.01783535209397627,0.20367331970048705,0.1554683212308524,0.18951340482290857,0.03511443941682889,0.03516625795681421,0.21558963297112088,0.20367331970048705,0.5987023672011462,0.5562045343040497,0.6465486688281463,0.013248533783192273,0.5578124848513761,0.6601887879082109,0.79871933030522,1.3359044958133883,1.435725075745932,0.06688733703078205,0.07171067952122065,14.535015616722749,14.535015616722749,14.514875106747454,0.02542557368477378,14.514875106747454,14.535015616722749,14.535015616722749,0.02052397686421891,0.10968788026637202,0.10544833106390575,0.03511443941682889,0.03516625795681421,0.21558963297112088
D,0.4866785638602736,0.20560789722588582,0.3064895715224361,0.23220621775123837,0.4202408063788369,0.3193567872275299,0.21973391110834756,0.20560789722588582,0.28799852998915193,0.4417496873162445,0.2731482722631506,0.49777702878935803,0.36637914108599495,0.21560182394347827,0.3802160865543752,0.31704074552936656,0.3059508336505151,0.31378761581944786,0.46910577317549657,0.31683312759299553,0.31683312759299553,0.32061124639290955,0.3995719737180558,0.32061124639290955,0.31683312759299553,0.31683312759299553,0.3774151851176684,0.3760948381140513,0.185976597328625,0.4202408063788369,0.3193567872275299,0.21973391110834756
H,2.336874336248613,1.9816733830254196,2.189171666149262,2.3249077868522194,2.6338423201228163,2.6173199453742884,2.2774986708458327,1.9816733830254196,1.335650697542126,1.1942394295713878,1.2576781290511738,1.8941557766115562,1.2400946690368035,1.2291291606222536,1.03959735486277,0.9337131034006094,0.8642914007681235,2.674225124814197,1.9586376741670186,0.18170068598232164,0.18170068598232164,0.18265617522325422,2.6626750528073044,0.18265617522325422,0.18170068598232164,0.18170068598232164,2.8065870175281944,1.8475391538758463,2.2060222506718117,2.6338423201228163,2.6173199453742884,2.2774986708458327
DBCV,0.7680064954019684,0.49722430208905627,0.56054405697603,0.49021767708793346,0.7555546132150747,0.7340461994083343,0.5198240445600426,0.49722430208905627,0.3408732229943515,0.37786156939515125,0.47580262361488374,0.8151403554221899,0.4435253167336712,0.3109443460117421,0.25042877040164424,0.23649508382582848,0.030594514398714762,0.7497158209402633,0.7098335338336793,-0.7518328322625077,-0.7518328322625077,-0.8465808489028934,0.8454966521432964,-0.8465808489028934,-0.7518328322625077,-0.7518328322625077,0.7910608899667779,0.5934553090265955,0.5835433017966918,0.7555546132150747,0.7340461994083343,0.5198240445600426
I,0.5163393844872535,0.8721754782850111,0.9037561692985387,0.8904058182430181,0.637015646178137,0.5934711150904048,0.9869394689257379,0.8721754782850111,1.4514926682961495,1.0851769599549124,1.3563887683122726,0.5099478872534574,1.0751279791847022,1.339034102940704,1.1464710483020797,1.3357834033758684,1.3924523458155247,0.684441640640222,0.7386944386321647,2.221981348227885,2.221981348227885,2.1933542619088873,0.5680426617980846,2.1933542619088873,2.221981348227885,2.221981348227885,0.4917256516909868,0.872845636560499,0.7910624834561927,0.637015646178137,0.5934711150904048,0.9869394689257379
C,0.0004925278439265132,0.003980065179049116,0.0024933011191255417,0.003112053288138669,0.0005658789330679902,0.0006546159090032666,0.0030820418911788076,0.003980065179049116,0.008360476845762075,0.008392018764917445,0.009344597876321787,0.00047705345589731503,0.008556249007352317,0.009764948134159662,0.01223255158127486,0.014634516819880388,0.018339196474648694,0.0009827294441598535,0.000977438909198706,0.043601329377083886,0.043601329377083886,0.043184145312612554,0.000536236155724552,0.043184145312612554,0.043601329377083886,0.043601329377083886,0.0005920567285690835,0.001668227076628801,0.001924916069480484,0.0005658789330679902,0.0006546159090032666,0.0030820418911788076
CDbw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930292111760751,0.0,0.8509713853059935,0.0,0.0,0.9908199063040611,0.0,0.9874500913887535,0.44301665856160305,0.0,0.0,0.050090645571757055,0.050090645571757055,0.051107987353341496,0.0,0.051107987353341496,0.050090645571757055,0.050090645571757055,0.0,0.0,0.0,0.0,0.0,0.0
VIASCKDE,,,,,,,,,0.5925319775312146,,0.5961102200773611,,,0.5953008954083799,,0.588351386851539,0.5637840554199779,,,0.5802277296210526,0.5802277296210526,0.5801340414592094,,0.5801340414592094,0.5802277296210526,0.5802277296210526,,,,,,
COP,0.2136072762764599,0.24973130629953996,0.2491026832415143,0.25274430339915527,0.22619000518899365,0.22251069890269912,0.25406156035972216,0.24973130629953996,0.13720891224790718,0.14240281925256867,0.13860793958996603,0.20802801023233186,0.1430160950792133,0.13872912846283436,0.15332425591811352,0.15734057704072868,0.14830379897336635,0.23452528197353367,0.23361091330362602,0.17822059592654205,0.17822059592654205,0.15982251721943289,0.21832468786104972,0.15982251721943289,0.17822059592654205,0.17822059592654205,0.21570590089143427,0.2412575296048083,0.24085974967997384,0.22619000518899365,0.22251069890269912,0.25406156035972216
