,labels_compound_MeanShift_params1,labels_compound_MeanShift_params10,labels_compound_MeanShift_params11,labels_compound_MeanShift_params12,labels_compound_MeanShift_params13,labels_compound_MeanShift_params14,labels_compound_MeanShift_params15,labels_compound_MeanShift_params16,labels_compound_MeanShift_params17,labels_compound_MeanShift_params18,labels_compound_MeanShift_params19,labels_compound_MeanShift_params2,labels_compound_MeanShift_params20,labels_compound_MeanShift_params21,labels_compound_MeanShift_params22,labels_compound_MeanShift_params23,labels_compound_MeanShift_params24,labels_compound_MeanShift_params25,labels_compound_MeanShift_params26,labels_compound_MeanShift_params27,labels_compound_MeanShift_params29,labels_compound_MeanShift_params3,labels_compound_MeanShift_params4,labels_compound_MeanShift_params5,labels_compound_MeanShift_params6,labels_compound_MeanShift_params7,labels_compound_MeanShift_params8,labels_compound_MeanShift_params9
B,0.025117777210871217,0.14862491320714963,0.12804478785761791,0.12821847776307535,0.07086430470785332,0.07212772694492671,0.12804478785761791,0.14862491320714963,0.1656318590070465,0.1656318590070465,0.1656318590070465,0.02509929309257463,0.1656318590070465,0.16592936309661555,0.16592936309661555,0.1656318590070465,0.1656318590070465,0.16592936309661555,0.16592936309661555,0.45913360712979673,0.45835955721374466,0.07307088246687755,0.06712697385763791,0.10664643862986274,0.08341206751951087,0.07086430470785332,0.07212772694492671,0.12804478785761791
BH,0.3005310868879238,7.161411397640952,7.462207516909311,7.472231377893723,1.7587423050485436,1.7426961859881593,7.462207516909311,7.161411397640952,16.41950088649987,16.41950088649987,16.41950088649987,0.27251363609717355,16.41950088649987,16.420055726844105,16.420055726844105,16.41950088649987,16.41950088649987,16.420055726844105,16.420055726844105,57.789910372986526,57.73289684409789,1.744433137597489,1.9969687716199764,3.249929780636229,3.6768733964060227,1.7587423050485436,1.7426961859881593,7.462207516909311
D,0.16544689731418546,0.2814001695582257,0.2902715734116502,0.2864818094882084,0.24695222116764567,0.17079486876534528,0.2902715734116502,0.2814001695582257,0.3829079008118808,0.3829079008118808,0.3829079008118808,0.1461656758232789,0.3829079008118808,0.3775862402019225,0.3775862402019225,0.3829079008118808,0.3829079008118808,0.3775862402019225,0.3775862402019225,0.2599322306799077,0.2617287451275475,0.23630645456183572,0.27670122187510526,0.21070136204408416,0.21795471460179944,0.24695222116764567,0.17079486876534528,0.2902715734116502
H,4.401393004484013,0.8511928537941489,0.7268542660761057,0.7281487911039081,2.1081001353562434,1.984646422142641,0.7268542660761057,0.8511928537941489,0.25999438918964096,0.25999438918964096,0.25999438918964096,4.407961844632824,0.25999438918964096,0.2604916218127338,0.2604916218127338,0.25999438918964096,0.25999438918964096,0.2604916218127338,0.2604916218127338,0.3684646558819905,0.366969361051582,2.1969238112408487,2.014553596928554,1.4703983092108683,1.3556224233414367,2.1081001353562434,1.984646422142641,0.7268542660761057
DBCV,-0.310676945804934,-0.6162115738581245,0.21652698137663487,0.269882661808246,-0.4650882085830506,-0.5899679817121681,0.21652698137663487,-0.6162115738581245,-0.09970995512534098,-0.09970995512534098,-0.09970995512534098,-0.339130514806422,-0.09970995512534098,-0.13655235714275996,-0.13655235714275996,-0.09970995512534098,-0.09970995512534098,-0.13655235714275996,-0.13655235714275996,-0.9305171530412875,-0.9269728273217217,-0.37803872891365026,-0.4646354406822083,-0.6927422013419136,-0.35940808457395207,-0.4650882085830506,-0.5899679817121681,0.21652698137663487
I,0.28811939957517585,0.6886802320630264,0.776739918864118,0.7733088999887795,0.4234724925486409,0.4712030258385857,0.776739918864118,0.6886802320630264,1.1258915639452625,1.1258915639452625,1.1258915639452625,0.2710446555036164,1.1258915639452625,1.1233983058861694,1.1233983058861694,1.1258915639452625,1.1258915639452625,1.1233983058861694,1.1233983058861694,0.8086005715104556,0.8085739454757858,0.3991690311082304,0.5026880597944177,0.4972739706522899,0.7628280295519775,0.4234724925486409,0.4712030258385857,0.776739918864118
C,0.022784007601907956,0.034373625836886405,0.017239709975361357,0.017269079491293148,0.02874191726150235,0.03905479459658481,0.017239709975361357,0.034373625836886405,0.02567527363283014,0.02567527363283014,0.02567527363283014,0.022681717088730062,0.02567527363283014,0.025766335731334175,0.025766335731334175,0.02567527363283014,0.02567527363283014,0.025766335731334175,0.025766335731334175,0.11322924575468943,0.11304438938174909,0.028345063745608266,0.027298385804976004,0.03959319937282639,0.0339042298450282,0.02874191726150235,0.03905479459658481,0.017239709975361357
CDbw,0.0,0.15961834995663293,0.158620467282602,0.14573713974308342,0.4294877614714879,0.4388333889697682,0.158620467282602,0.15961834995663293,0.06483139290118806,0.06483139290118806,0.06483139290118806,0.0,0.06483139290118806,0.0786360262009908,0.0786360262009908,0.06483139290118806,0.06483139290118806,0.0786360262009908,0.0786360262009908,0.045004734573472656,0.04645011579745586,0.40745670824800445,0.36760820655861154,0.2293612996033946,0.24233484092607754,0.4294877614714879,0.4388333889697682,0.158620467282602
VIASCKDE,,0.4335337727337271,0.48370804699255404,0.4860563431614718,0.3951774458005526,0.3803028647996859,0.48370804699255404,0.4335337727337271,0.5848162169410696,0.5848162169410696,0.5848162169410696,,0.5848162169410696,0.584658019385073,0.584658019385073,0.5848162169410696,0.5848162169410696,0.584658019385073,0.584658019385073,0.5578882587410401,0.5588130020512316,0.3752682415901464,0.39491955857727407,0.39424861967423086,0.41974115271808,0.3951774458005526,0.3803028647996859,0.48370804699255404
COP,,0.20121590206989015,0.21103126143376918,0.21048961640945177,0.2179924104177843,0.20687808693503207,0.21103126143376918,0.20121590206989015,0.1813036426624693,0.1813036426624693,0.1813036426624693,,0.1813036426624693,0.18149734116303015,0.18149734116303015,0.1813036426624693,0.1813036426624693,0.18149734116303015,0.18149734116303015,0.24389404490157449,0.24420505883362803,0.2165921218826925,0.2232520077719497,0.2110142761093695,0.20490032742698572,0.2179924104177843,0.20687808693503207,0.21103126143376918
