,labels_smile_MeanShift_params1,labels_smile_MeanShift_params10,labels_smile_MeanShift_params11,labels_smile_MeanShift_params12,labels_smile_MeanShift_params13,labels_smile_MeanShift_params14,labels_smile_MeanShift_params15,labels_smile_MeanShift_params16,labels_smile_MeanShift_params17,labels_smile_MeanShift_params18,labels_smile_MeanShift_params19,labels_smile_MeanShift_params2,labels_smile_MeanShift_params20,labels_smile_MeanShift_params21,labels_smile_MeanShift_params22,labels_smile_MeanShift_params23,labels_smile_MeanShift_params24,labels_smile_MeanShift_params25,labels_smile_MeanShift_params26,labels_smile_MeanShift_params27,labels_smile_MeanShift_params28,labels_smile_MeanShift_params29,labels_smile_MeanShift_params3,labels_smile_MeanShift_params30,labels_smile_MeanShift_params31,labels_smile_MeanShift_params32,labels_smile_MeanShift_params4,labels_smile_MeanShift_params5,labels_smile_MeanShift_params6,labels_smile_MeanShift_params7,labels_smile_MeanShift_params8,labels_smile_MeanShift_params9
Sym,0.0876234595080293,0.00399083312279977,0.005239660264970445,0.004997517634043201,0.033036890788270414,0.0363749465827067,0.004502321601225069,0.00399083312279977,0.006596955994111486,0.006316463593047387,0.004893229522344673,0.11126518698811398,0.004985144139434076,0.004919916088952414,0.004967019802088907,0.006611109035943268,0.006611109035943268,0.00528395079335718,0.006685251055036686,0.006611109035943268,0.006611109035943268,0.006611109035943268,0.11183564939089363,0.006611109035943268,0.007307548354733475,0.007307548354733475,0.11142239081562931,0.009331103600459726,0.007655534967272349,0.033036890788270414,0.0363749465827067,0.004502321601225069
CS,0.6162851450478954,0.9753228253120897,1.0822131523203462,0.9959125076376988,0.7551678980979024,0.7739317811350394,0.9906305600064829,0.9753228253120897,1.7469267338650292,0.9905883218645158,0.9939074824243187,0.6461405298551575,1.064507804486532,1.0112354267109265,1.0581236637689138,1.075101351345483,1.075101351345483,1.1069108292590784,1.3953540534553637,1.075101351345483,1.075101351345483,1.075101351345483,0.6172703679605337,1.075101351345483,1.0685766769158627,1.0685766769158627,0.6160791114553459,0.8967928513361362,0.8358139814185119,0.7551678980979024,0.7739317811350394,0.9906305600064829
SF,0.1909889023195297,0.17095087584260216,0.19639628423979383,0.18400182678587607,0.19671065425889955,0.17505656152671933,0.1805659427340649,0.17095087584260216,0.30583375760061604,0.3298309907967697,0.18951097045939647,0.18247936582186552,0.1755942290847371,0.18141507367388177,0.17573652390208605,0.37680178813359366,0.37680178813359366,0.19276972978044382,0.22718971230086193,0.37680178813359366,0.37680178813359366,0.37680178813359366,0.1815171329895413,0.37680178813359366,0.37157105336936747,0.37157105336936747,0.18729079915231694,0.17133906358640483,0.1622085844407276,0.19671065425889955,0.17505656152671933,0.1805659427340649
SD,189599183.27496365,1450203343.9911458,2418060943.201442,2157842116.59801,450461104.4027095,445886149.52798414,1826751197.2018101,1450203343.9911458,8630481031.01683,6035171700.342355,2092770393.4192429,196699901.10780385,2289004833.500789,2168404466.055679,2270514034.022199,9591157112.373396,9591157112.373396,2405786607.0818415,3330471105.0716157,9591157112.373396,9591157112.373396,9591157112.373396,168826546.02969825,9591157112.373396,9753266964.81197,9753266964.81197,189053072.74843755,1232770932.9336483,797969979.3823056,450461104.4027095,445886149.52798414,1826751197.2018101
SDbw,0.054502253910619546,0.1968100752312485,0.37713155449537694,0.29937727862446806,0.09468722377909014,0.09520059054460446,0.24017133262661183,0.1968100752312485,1.1743173721918758,0.7181810134750943,0.2829360944846423,0.058960708797287376,0.3290683677781747,0.31612208550715315,0.3291917798767175,0.7109015387212971,0.7109015387212971,0.37877769284157303,0.38206216322039854,0.7109015387212971,0.7109015387212971,0.7109015387212971,0.052248005280996046,0.7109015387212971,0.7169553640431177,0.7169553640431177,0.05400714479494433,0.1662062609612681,0.13686846831167218,0.09468722377909014,0.09520059054460446,0.24017133262661183
XB*,0.6075361742681361,0.9357971978652441,0.43047750711228394,0.43047750711228394,0.4796058930995356,0.57587560879305,0.7386478273212919,0.9357971978652441,0.8153003638442708,0.30904132029135106,0.4467016704166174,0.4022174886829,0.5363524162933805,0.45916961497433245,0.5512770976766287,0.28541744528536295,0.28541744528536295,0.4301029570023065,0.44477915317368083,0.28541744528536295,0.28541744528536295,0.28541744528536295,0.399470460208195,0.28541744528536295,0.2841583916320642,0.2841583916320642,0.20094509932449478,0.5925016922708372,0.7218948451356716,0.4796058930995356,0.57587560879305,0.7386478273212919
S,0.6525639238483807,0.5192591189807314,0.49288806111021005,0.5076568741538772,0.6439959370902115,0.6347883615741501,0.5095086720876961,0.5192591189807314,0.36706631139497226,0.5364770797767431,0.5043767360850466,0.6463200116040809,0.5084150330562183,0.5053570232218174,0.5073667685285056,0.5062767120561913,0.5062767120561913,0.4976614744517177,0.4896244915668585,0.5062767120561913,0.5062767120561913,0.5062767120561913,0.6598046487605259,0.5062767120561913,0.504140861611059,0.504140861611059,0.6532681965909288,0.5795285075936272,0.57769586082231,0.6439959370902115,0.6347883615741501,0.5095086720876961
DB,0.4608097005338104,0.6425735494501269,0.7407287878006834,0.7002839759787622,0.5060443591798205,0.5409244018882344,0.675689248380457,0.6425735494501269,1.0983938017199624,0.7779559611118056,0.6910025548290611,0.47716991698398514,0.7406033629786465,0.7009189440501724,0.7359434117105338,0.8032250302396139,0.8032250302396139,0.7448517296446724,0.9166859330159774,0.8032250302396139,0.8032250302396139,0.8032250302396139,0.48222664864925624,0.8032250302396139,0.8160659145138637,0.8160659145138637,0.4609033954865149,0.5833356488236081,0.5575862167169386,0.5060443591798205,0.5409244018882344,0.675689248380457
CH,3668.332835606104,610.9722532912131,832.4516561092719,774.0653861566459,2181.6226397595224,1963.56798550169,711.8515860105947,610.9722532912131,850.9596918413798,1275.4301569195802,770.47376460179,4465.118127967584,773.6963529158677,777.2104595851919,774.1833566563627,1271.8216824521226,1271.8216824521226,837.6837550024552,1055.797923520333,1271.8216824521226,1271.8216824521226,1271.8216824521226,4924.947343341811,1271.8216824521226,1284.1943209292508,1284.1943209292508,4993.980056444542,1263.9791932774067,992.0836005690437,2181.6226397595224,1963.56798550169,711.8515860105947
AD-S,0.4856773375655953,0.7422766685123632,0.7063812186958652,0.712976342792587,0.4329800708114931,0.43164779789908486,0.7238746067092481,0.7422766685123632,0.8018627083389881,0.673857980651703,0.7075941217153271,0.4580203175086904,0.7143292885448786,0.7084664844329243,0.7075614573874093,0.7588491223127003,0.7588491223127003,0.7033926912562283,0.7177873973591549,0.7588491223127003,0.7588491223127003,0.7588491223127003,0.48224769165411485,0.7588491223127003,0.7686810840250057,0.7686810840250057,0.4705317510613731,0.3694239733549054,0.36856067851242563,0.4329800708114931,0.43164779789908486,0.7238746067092481
