,labels_smile_DBSCAN_params1,labels_smile_DBSCAN_params11,labels_smile_DBSCAN_params12,labels_smile_DBSCAN_params13,labels_smile_DBSCAN_params14,labels_smile_DBSCAN_params15,labels_smile_DBSCAN_params16,labels_smile_DBSCAN_params17,labels_smile_DBSCAN_params18,labels_smile_DBSCAN_params19,labels_smile_DBSCAN_params2,labels_smile_DBSCAN_params20,labels_smile_DBSCAN_params21,labels_smile_DBSCAN_params22,labels_smile_DBSCAN_params23,labels_smile_DBSCAN_params24,labels_smile_DBSCAN_params25,labels_smile_DBSCAN_params26,labels_smile_DBSCAN_params27,labels_smile_DBSCAN_params28,labels_smile_DBSCAN_params29,labels_smile_DBSCAN_params30,labels_smile_DBSCAN_params31,labels_smile_DBSCAN_params32,labels_smile_DBSCAN_params33,labels_smile_DBSCAN_params34,labels_smile_DBSCAN_params35,labels_smile_DBSCAN_params36,labels_smile_DBSCAN_params37,labels_smile_DBSCAN_params38,labels_smile_DBSCAN_params39,labels_smile_DBSCAN_params40,labels_smile_DBSCAN_params41,labels_smile_DBSCAN_params42,labels_smile_DBSCAN_params43,labels_smile_DBSCAN_params44,labels_smile_DBSCAN_params45,labels_smile_DBSCAN_params46,labels_smile_DBSCAN_params47,labels_smile_DBSCAN_params48,labels_smile_DBSCAN_params49,labels_smile_DBSCAN_params50,labels_smile_DBSCAN_params51,labels_smile_DBSCAN_params52,labels_smile_DBSCAN_params53,labels_smile_DBSCAN_params54,labels_smile_DBSCAN_params55,labels_smile_DBSCAN_params6,labels_smile_DBSCAN_params7,labels_smile_DBSCAN_params8,labels_smile_DBSCAN_params9
B,0.46804891475090454,0.960009611162248,1.959267480651227,1.4665093330747405,0.5420444622015897,0.49697570430406274,1.108907395557968,0.9127636843430695,1.4014393056066137,1.9387060728291807,0.2905856721685884,0.5336896184511074,1.1541838889728258,1.0233810756786244,1.274596243739548,1.9387060728291807,1.7506771123319895,0.08705640680928121,1.2429424456499023,1.1295587450657136,1.9387060728291807,1.9387060728291807,0.15988296131544483,0.15988296131544483,1.2025184734917795,1.9387060728291807,1.9387060728291807,0.18622205444559128,0.18622205444559128,2.22139042130423,1.0987740859694521,1.9182158238650613,0.5250124080853311,0.5250124080853311,0.5250124080853311,0.08780699328071266,1.871232455563948,0.5250124080853311,0.5250124080853311,0.5250124080853311,0.5250124080853311,1.6159110526469358,0.3932522973320977,0.3932522973320977,0.3932522973320977,0.3932522973320977,1.070343468392091,0.6879087728393313,0.7114772108719728,0.4848665263858293,0.24938262291726532
BH,0.0004955841064715763,3.1206253098547463,11.44090476646403,0.48073520404465225,0.016546241427409673,0.02182648039399529,2.3879102373414525,2.996445133537574,8.58528425068376,13.730307597693663,0.00020471802536712252,0.028987160282008668,3.22796375834982,3.4953569949241263,7.6485401857813,13.730307597693663,1.654707198080475,5.36682360125922,4.9204981715733975,5.772580030254233,13.730307597693663,13.730307597693663,17.82119101113891,17.82119101113891,5.271894607961772,13.730307597693663,13.730307597693663,28.06366988243507,28.06366988243507,22.419075389524895,7.0969346195356895,13.828638841226766,71.12477186795554,71.12477186795554,71.12477186795554,13.12054226951141,14.444570055817465,71.12477186795554,71.12477186795554,71.12477186795554,71.12477186795554,31.319477599891492,125.63423552674617,125.63423552674617,125.63423552674617,125.63423552674617,83.40578484582524,0.08303723886340723,0.03010808992488578,0.004023612146320078,0.004664697407828722
D,0.12345703736660871,0.028881167042544387,0.2980689150359653,0.09431789103313833,1.0217761202157798,2.355452917408007,0.06806896366443554,0.07529849287394452,0.2898839843757473,0.39482522494663247,0.2022521051115843,1.7512207035877876,0.08037214941592412,0.12442060501131662,0.3199904429200377,0.39482522494663247,0.4564458161479404,0.15292538863445654,0.09861145578634983,0.210143414053678,0.39482522494663247,0.39482522494663247,0.16944010475632196,0.16944010475632196,0.15945260519093518,0.39482522494663247,0.39482522494663247,0.49172006019159015,0.49172006019159015,0.22190412034272633,0.09943623515616785,0.3105368810026002,0.2740684262108242,0.2740684262108242,0.2740684262108242,0.3838949820136741,0.12866339061011325,0.2740684262108242,0.2740684262108242,0.2740684262108242,0.2740684262108242,0.36268872028415466,0.49534771409872796,0.49534771409872796,0.49534771409872796,0.49534771409872796,0.7095488027412796,0.038920054575553295,0.0716033066833063,0.20526163060629207,2.0142326933574166
H,,,,,,,,,,,,,,,,,,1.6848332670223096,,,,,1.8692337284685054,1.8692337284685054,,,,0.5510837352423259,0.5510837352423259,,,,0.7229156840603977,0.7229156840603977,0.7229156840603977,0.8679615331568529,,0.7229156840603977,0.7229156840603977,0.7229156840603977,0.7229156840603977,,0.31873969482671083,0.31873969482671083,0.31873969482671083,0.31873969482671083,,,,,
DBCV,0.3728579329826769,0.8553963714573364,0.8000512492899402,0.6105284586119599,0.39946049691618457,0.2809211751906751,0.951470987965293,0.9224624815515378,0.8295923190685772,0.7985525069430335,0.31078057713531926,0.29981745004166294,0.9271653255072198,0.9271889651920945,0.8526672305546572,0.7985525069430335,0.04291822969924141,0.8982282380663196,0.89675984437221,0.897513791944615,0.7985525069430335,0.7985525069430335,0.8695506550396696,0.8695506550396696,0.8273549011839411,0.7985525069430335,0.7985525069430335,0.858465121780317,0.858465121780317,0.857823342922754,0.7838363004613454,0.7819427968861844,0.8646574710312442,0.8646574710312442,0.8646574710312442,0.3608336548932283,0.7328203928383549,0.8646574710312442,0.8646574710312442,0.8646574710312442,0.8646574710312442,0.7867044010508014,0.6989326351742075,0.6989326351742075,0.6989326351742075,0.6989326351742075,0.6985320569508199,0.38954973145343674,0.47136184483963806,0.4437875971073125,0.14798526320443486
I,8.338886739899193,0.11640854012946819,0.6970449381962507,4.576854821513382,393.02326325656196,1049.4628436724324,0.0633772060064508,0.10342437831626981,0.8114801937322573,1.0024908535909527,116.41886256893054,777.8363864698113,0.09718295452559922,0.12718593834825362,0.6234950932380489,1.0024908535909527,5.375769514666508,0.19573788172770107,0.17790786077720094,0.3683747720690349,1.0024908535909527,1.0024908535909527,0.42365373542772256,0.42365373542772256,0.2045764061482756,1.0024908535909527,1.0024908535909527,0.6997993094699543,0.6997993094699543,0.4488049845093926,0.43517514917707617,0.9540697413807102,0.5520379300262134,0.5520379300262134,0.5520379300262134,0.5119034070484628,0.807018383307543,0.5520379300262134,0.5520379300262134,0.5520379300262134,0.5520379300262134,0.46354731198805343,0.7512520845285922,0.7512520845285922,0.7512520845285922,0.7512520845285922,0.3347540856507907,2.4258375538011636,5.378021120218537,82.44454986455919,9096.585970537175
C,0.458965178266403,0.07783501147815543,0.08962685001888608,0.17693521860763675,0.46400589420563276,0.44951409022104133,0.06170797078085816,0.06375817431797313,0.08065182287708264,0.0885831562114951,0.5497503906505373,0.4345317596930617,0.05980216876900273,0.06022895665840433,0.07648728992647166,0.0885831562114951,0.2669951879420143,0.058211061265859176,0.05855125564921701,0.06690014016167144,0.0885831562114951,0.0885831562114951,0.0579607942524534,0.0579607942524534,0.05827401080059727,0.0885831562114951,0.0885831562114951,0.03517422891884541,0.03517422891884541,0.03541020124164362,0.060046932227229115,0.0851875015505071,0.09707422557951408,0.09707422557951408,0.09707422557951408,0.039524197012754614,0.07076584833964035,0.09707422557951408,0.09707422557951408,0.09707422557951408,0.09707422557951408,0.0709230891991196,0.110931575493606,0.110931575493606,0.110931575493606,0.110931575493606,0.11034218169811018,0.19413991982697665,0.2588753836656316,0.500511966118284,0.508872523652568
CDbw,0.1934147099141654,1.0058195993975907,0.7870277288999961,0.658604908332005,0.8858058095047281,0.8743920916773239,0.8344092350845007,1.0212152066858524,1.0589522053161635,0.8540058033517197,0.26407059620771367,0.8558823762779953,3.7820314882121235,2.360049446434498,1.0505052471244047,0.8540058033517197,0.6138423648913574,3.6251201569432583,2.8388093705739323,1.1257712811512226,0.8540058033517197,0.8540058033517197,1.9754338226751837,1.9754338226751837,6.936931758863252,0.8540058033517197,0.8540058033517197,1.2928372947892095,1.2928372947892095,0.0,0.8003130484573888,0.6458710003262005,2.0425622494258002,2.0425622494258002,2.0425622494258002,1.1863014805787238,0.5210163570627276,2.0425622494258002,2.0425622494258002,2.0425622494258002,2.0425622494258002,0.32898894107007554,0.20585015128126768,0.20585015128126768,0.20585015128126768,0.20585015128126768,0.0,0.5139055491781196,0.49191019245594453,0.472292688017637,0.8837502084082369
VIASCKDE,0.39752573955790704,0.6584928416129324,0.6707173393372026,0.6041549885596591,0.6638423202658754,0.6504522583200563,0.721266101813409,0.7230324255779552,0.7371974198127837,0.747925876505975,0.4192817239771648,0.7707322362274495,0.73683191171318,0.7404929959519563,0.7482484604558884,0.747925876505975,0.6598562805732613,0.7465795518205559,0.7478976641572591,0.741336794736851,0.747925876505975,0.747925876505975,0.7405117500333439,0.7405117500333439,0.7417480586141499,0.747925876505975,0.747925876505975,0.708152929845695,0.708152929845695,,0.7515314368993243,0.7636016135348234,0.7166103193361938,0.7166103193361938,0.7166103193361938,0.7327003998384114,0.7443213184330706,0.7166103193361938,0.7166103193361938,0.7166103193361938,0.7166103193361938,0.7408963736875049,0.7373741881592865,0.7373741881592865,0.7373741881592865,0.7373741881592865,,0.5395753689287384,0.5233430397247192,0.5182017941703048,0.6039893288034899
COP,0.18304720564389207,0.2516962404285486,0.25151110434748347,0.16994644088471916,0.36327314811716677,0.4037100507109423,0.21187008292444037,0.21213964927149187,0.2374108969990611,0.2518581282548423,0.33569711569764954,0.3940801724335569,0.20505541223114954,0.20020697274766544,0.2358972547027997,0.2518581282548423,0.26475145314741644,0.19491282577513325,0.19202641959190897,0.21326956148194567,0.2518581282548423,0.2518581282548423,0.22759958508668116,0.22759958508668116,0.1923554546455875,0.2518581282548423,0.2518581282548423,0.24352508157535738,0.24352508157535738,0.24318261605518204,0.22805152615742844,0.2541414252100185,0.311896296925198,0.311896296925198,0.311896296925198,0.2177260623450789,0.25957366651147845,0.311896296925198,0.311896296925198,0.311896296925198,0.311896296925198,0.33351649899201996,0.356739902295388,0.356739902295388,0.356739902295388,0.356739902295388,0.3559062546192847,0.14684942248506,0.1523053603005706,0.3292310481279988,0.4698332835093925
